Estabelecimento de tratamento;cnes
2083094 HOSPITAL REGIONAL DE ASSIS;2083094
2083116 SANTA CASA DE MARILIA;2083116
2083140 IRMANDADE DA SANTA CASA DE MISERICORDIA DE;2083140
2083175 SANTA CASA PIEDADE;2083175
2083213 HOSPITAL TERRA ROXA;2083213
2083264 HOSPITAL MUNICIPAL JOAQUIM RAIMUNDO GOMES;2083264
2083272 HOSPITAL MUNICIPAL DE BERTIOGA;2083272
2083493 SANTA CASA DE PONTAL;2083493
2083604 SANTA CASA DE AVARE;2083604
2083981 HOSPITAL ESTADUAL SUMARE;2083981
2084023 HOSPITAL MUNICIPAL DE NAZARE PAULISTA;2084023
2084058 SANTA CASA MISER STACRUZ RIO PARDO;2084058
2084074 HOSP MARIA VALLE PEREIRA DE TABAPUA;2084074
2084163 HOSPITAL ESTADUAL DE DIADEMA HOSPITAL SERR;2084163
2084171 HOSPITAL E MATERNIDADE SAO JOSE;2084171
2084228 SANTA CASA DE MISERICORDIA DONA CAROLINA M;2084228
2084252 SOBRAPAR CAMPINAS;2084252
2084414 SANTA CASA DE RIBEIRAO PRETO;2084414
2084422 SANTA CASA DE SAO PEDRO;2084422
2084430 HOSPITAL E MATERNIDADE MADRE VANNINI CONCH;2084430
2084473 HOSP MUN DR IGNACIO PROENCA DE GOUVEA;2084473
2085194 HOSPITAL SAO FRANCISCO DE ASSIS;2085194
2086336 HOSPITAL E MATERNIDADE MAIRIPORA;2086336
2087057 HOSPITAL DOS FORNECEDORES DE CANA DE PIRAC;2087057
2087103 SOCIEDADE OPERARIA HUMANITARIA LIMEIRA;2087103
2087111 IRMANDADE DA SANTA CASA DE MISERICORDIA LO;2087111
2087618 HOSPITAL MUNICIPAL DE VOTORANTIM;2087618
2087715 HOSPITAL E MATERNIDADE MUNICIPAL GOVERNADO;2087715
2087804 HOSPITAL REGIONAL JORGE ROSSMANN DE ITANHA;2087804
2088193 IRMANDADE DA STA CASA DE MISERICORD DE MOG;2088193
2088487 SANTA CASA DE NOVO HORIZONTE;2088487
2088495 INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA I;2088495
2088525 SANTA CASA DE MIGUELOPOLIS;2088525
2088576 HOSPITAL DE TRANSP DO EST DE SP EURYCLIDES;2088576
2089327 HOSPITAL PADRE ALBINO CATANDUVA;2089327
2089335 HOSP ESCOLA EMILIO CARLOS CATANDUVA;2089335
2089548 SANTA CASA DE PITANGUEIRAS;2089548
2089696 HOSPITAL GRAACC INSTITUTO DE ONCOLOGIA PED;2089696
2089785 HOSPITAL DO RIM E HIPERTENSAO;2089785
2090236 FUNDACAO PIO XII BARRETOS;2090236
2090333 SANTA CASA DE CERQUEIRA CESAR;2090333
2090961 HOSPITAL CARLOS FERNANDO MALZONI MATAO;2090961
2091267 SANTA CASA SANTA RITA DO PASSA QUATRO;2091267
2091313 HOSPITAL REGIONAL SUL SAO PAULO;2091313
2091399 ASSOCIACAO NOSSA SENHORA DO PARI;2091399
2091542 AME AMBULATORIO MEDICO DE ESPECIALIDADES M;2091542
2091550 INST CEMA DE OFTALMOLOGIA E OTORRINOLARING;2091550
2091585 HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO;2091585
2091658 HOSPITAL DIA M BOI MIRIM I;2091658
2091755 HOSPITAL GERAL DE VILA PENTEADO DR JOSE PA;2091755
2092093 HOSPITAL E MATERNIDADE SAO VICENTE DE PAUL;2092093
2092298 SANTA CASA DE ITU;2092298
2092395 HOSPITAL MUNICIPAL IBATE;2092395
2092611 SANTA CASA DE BARRETOS;2092611
2092638 SANTA CASA DE FARTURA;2092638
2092980 HOSPITAL DE BASTOS;2092980
2093324 SANTA CASA DE FERNANDOPOLIS;2093324
2093332 SANTA CASA DE SANTA FE DO SUL;2093332
2093502 HOSPITAL SAO DOMINGOS NA PROV DE DEUS NHAN;2093502
2095912 HOSPITAL JOSE VENANCIO;2095912
2096412 SANTA CASA DE MISERICORDIA DE JACAREI;2096412
2096463 SANTA CASA DE MOGI GUACU;2096463
2096498 HOSPITAL MUNICIPAL DR TABAJARA RAMOS;2096498
2096617 HOSPITAL ASSISTENCIAL MARIA CAVALOTTI NEVE;2096617
2097605 HOSPITAL IELAR;2097605
2097613 HOSPITAL INFANTE D HENRIQUE;2097613
2097877 IRMANDADE DA SANTA CASA DE MISERICORDIA DE;2097877
2098156 SANTA CASA DE CAMPOS ALTOS;2098156
2098326 HOSPITAL E MATERNIDADE SAO JOSE;2098326
2098369 HOSPITAL SANTO ANTONIO;2098369
2098407 HOSPITAL MUNICIPAL SANTANA DE CARANDAI;2098407
2098474 HOSPITAL POLICLINICA E MATERNIDADE DE BARB;2098474
2098539 HOSPITAL MUNICIPAL FREI GABRIEL;2098539
2098911 IRMANDADE DA SANTA CASA DE MISERICORDIA DE;2098911
2098938 HOSPITAL IBIAPABA CEBAMS;2098938
2099209 HOSPITAL SAO VICENTE DE PAULO MANTENA;2099209
2099233 IRMANDADE DA SANTA CASA DE MUZAMBINHO;2099233
2099438 HOSPITAL SAO JOAO BATISTA;2099438
2099454 HOSPITAL SAO SEBASTIAO;2099454
2100363 HOSPITAL NOSSA SENHORA DA CONCEICAO RIO CA;2100363
2100371 HOSPITAL NOSSA SENHORA DE LOURDES DE ALVIN;2100371
2100681 HOSPITAL MUNICIPAL DE SAO GOTARDO;2100681
2100754 HOSPITAL MUNICIPAL DE PARACATU;2100754
2101432 HOSPITAL MUNICIPAL DARCI JOSE FERNANDES;2101432
2101777 HOSPITAL MUNICIPAL ANTONIO CARNEIRO VALADA;2101777
2101874 HOSPITAL MUNICIPAL DR BININHO;2101874
2102587 HOSPITAL SAO JOSE SAO CAMILO;2102587
2102595 HOSPITAL SAO SEBASTIAO DE TARUMIRIM;2102595
2102765 HOSPITAL SAO JOAO EVANGELISTA;2102765
2102773 HOSPITAL SAO VICENTE DE PAULO DE ITANHOMI;2102773
2103532 HOSPITAL SAO SEBASTIAO DE INHAPIM;2103532
2105365 FUNDACAO HOSPITALAR DO MUNICIPIO DE ESPINO;2105365
2105780 HOSPITAL MANOEL GONCALVES;2105780
2105799 CASA DE SAUDE SAO FRANCISCO DE ASSIS DE BA;2105799
2108933 HOSPITAL MUNICIPAL DE ESTRELA DO INDAIA;2108933
2108992 HOSPITAL DERALDO GUIMARAES;2108992
2109034 SANTA CASA DE MISERECORDIA DE SACRAMENTO;2109034
2109867 HOSPITAL MUNICIPAL MONSENHOR FLAVIO DAMATO;2109867
2110075 CLINICA MEMORIAL LTDA;2110075
2111624 HOSPITAL REGIONAL JOAO PENIDO;2111624
2111640 HOSPITAL NOSSA SENHORA DAS DORES;2111640
2111659 SANTA CASA DE MISERICORDIA DE LAVRAS;2111659
2112175 HOSPITAL VAZ MONTEIRO;2112175
2114143 HOSPITAL MUNICIPAL JATYR GUIMARAES DE PAUL;2114143
2114267 HOSPITAL EVANGELICO DE CARANGOLA;2114267
2114763 HOSPITAL PADRE JULIO MARIA;2114763
2115077 FUNDACAO DE SAUDE CRISTO REI;2115077
2115662 SABARA HOSPITAL CRISTIANO MACHADO;2115662
2115816 UNIDADE DE SAUDE CENTRO;2115816
2117037 NOVA LIMA HOSPITAL NOSSA SENHORA DE LOURDE;2117037
2117096 MATEUS LEME HOSPITAL SANTA TEREZINHA;2117096
2117312 CAETE SANTA CASA DE CAETE;2117312
2117568 HOSPITAL CASSIANO CAMPOLINA;2117568
2118076 HOSPITAL MUNICIPAL DONA ROSALINA FLAUSINA;2118076
2118092 HOSPITAL MUNICIPAL NOSSA SENHORA DA LAPA;2118092
2118246 STA CASA MIS CARMO DO PARANAIBA DR ADILON;2118246
2118459 CASA DE SAUDE UNIAO;2118459
2118513 HOSPITAL NOSSA SENHORA AUXILIADORA;2118513
2118629 HOSPITAL SAO VICENTE DE PAULO;2118629
2118661 HOSPITAL BOM SAMARITANO;2118661
2119404 HOSPITAL E MATERNIDADE NOSSA SENHORA DAS G;2119404
2119420 HOSPITAL MUNICIPAL SENHORA SANTANA;2119420
2119439 HOSPITAL CRISTO REI;2119439
2119447 HOSPITAL SAO GERALDO;2119447
2119463 HOSPITAL TACITO DE FREITAS COSTA;2119463
2119471 HOSPITAL MUNICIPAL DE BOCAIUVA;2119471
2119501 HOSPITAL MUNICIPAL GRICIA LISBOA DE REZEND;2119501
2119528 HOSPITAL DR MOISES MAGALHAES FREIRE;2119528
2120402 HOSPITAL BOM PASTOR;2120402
2120410 HOSPITAL SAO MIGUEL;2120410
2120542 LAGOA SANTA HOSPITAL LINDOURO AVELAR;2120542
2121514 HOSPITAL SEBASTIAO PAES DE ALMEIDA;2121514
2121808 HOSPITAL GENESIO FRANCO DE MORAIS;2121808
2122650 CASA DE CARIDADE LEOPOLDINENSE;2122650
2122677 HOSPITAL SAO SALVADOR;2122677
2123061 INSTITUTO NOSSA SENHORA DO CARMO;2123061
2123231 HOSPITAL SAO VICENTE DE PAULO;2123231
2124289 HOSPITAL MUNICIPAL VALDEMAR DE ASSIS BARCE;2124289
2125943 CENTRO R E ESPECIALIDADES DIVINO FERREIRA;2125943
2126494 HOSPITAL PUBLICO REGIONAL PREFEITO OSVALDO;2126494
2126508 MATERNIDADE P MUNICIPAL HAYDE ESPEJO CONRO;2126508
2126796 HOSPITAL SAO VICENTE DE PAULO DE ABAETE;2126796
2127687 SANTA CASA DE MISERICORDIA DE ITAJUBA;2127687
2127695 HOSPITAL FREI CAETANO E MATSANTA TEREZA PA;2127695
2127725 IRMANDADE DA SANTA CASA DE MISERICORDIA DE;2127725
2127733 SANTA CASA DE MISERICORDIA DE CALDAS;2127733
2127881 HOSPITAL E MATERN SAO LUCAS DE EXTREMA;2127881
2127911 CASA DE CARIDADE DE OURO FINO;2127911
2127989 HOSPITAL DAS CLIN SAMUEL LIBANIO POUSO ALE;2127989
2127997 SANTA CASA E MAT N S DE FATIMA ESTIVA;2127997
2128012 HOSPITAL ANA MOREIRA SALLES CAMBUI;2128012
2129469 SANTA CASA DE POCOS DE CALDAS;2129469
2129566 HOSPITAL SANTA LUCIA HOSPITAL DO CORACAO;2129566
2132877 HOSPITAL SAO CARLOS;2132877
2134268 FUNDACAO MINAS NOVAS HOSPITAL DOUTOR BADAR;2134268
2134276 HOSPITAL SAO VICENTE DE PAULO ARACUAI;2134276
2134292 HOSPITAL MUNICIPAL NOSSA SENHORA DOS POBRE;2134292
2134306 HOSPITAL SAO DOMINGOS;2134306
2135108 HOSPITAL SAO VICENTE TURMALINA;2135108
2135124 FUNDACAO HOSPITALAR SAO VICENTE DE PAULO;2135124
2135132 SANTA CASA DE CARIDADE;2135132
2135914 HOSPITAL SAO SEBASTIAO DE SABINOPOLIS;2135914
2135930 HOSPITAL MUNICIPAL GERALDO FERREIRA GANDRA;2135930
2135949 HOSPITAL DE ITAMARANDIBA;2135949
2136945 HOSPITAL QUELUZ;2136945
2138875 SANTA CASA MISERICORDIA BARBACENA;2138875
2139030 HOSPITAL SANTA RITA;2139030
2139049 HEFA;2139049
2139073 HOSPITAL VALE DO JEQUITINHONHA;2139073
2139138 HOSPITAL SAO VICENTE DE PAULO;2139138
2139146 HOSPITAL DE FELISBURGO;2139146
2139200 SANTA CASA DE MISERICORDIA DO HOSP SAO FRA;2139200
2139448 CLINICA SAO JOSE;2139448
2139626 HOSPITAL NOSSA SENHORA DO ROSARIO;2139626
2140063 HOSPITAL MUNICIPAL SAO SEBASTIAO;2140063
2140098 UNIDADE MISTA MUNICIPAL DR BRICIO DE CASTR;2140098
2140217 HOSPITAL E MATERNIDADE VITAL BRAZIL;2140217
2142295 HOSPITAL CARLOS CHAGAS;2142295
2142376 HOSPITAL SAO LUIZ DE FORMIGA;2142376
2142406 SANTA CASA DE MISERICORDIA DE PITANGUI;2142406
2142600 CENTRO DE SAUDE DE ITAGUARA;2142600
2142627 SANTA CASA DE ITAGUARA;2142627
2143127 SANTA CASA MISERICORDIA NOSSA SENHORA CARM;2143127
2143801 HOSPITAL SAO JOSE DE NOVA SERRANA;2143801
2143852 HOSPITAL NOSSA SENHORA DO BRASIL DE BAMBUI;2143852
2143895 SANTA CASA DE ITAPECERICA;2143895
2144026 SANTA CASA DE MISERICORDIA DE SANTO ANTONI;2144026
2144042 SANTA CASA DR ZACARIAS;2144042
2144166 HOSPITAL SENHORA APARECIDA DE LUZ;2144166
2144204 SANTA CASA DE MISERICORDIA CLAUDIO;2144204
2144255 HOSPITAL MUNICIPAL SANTO ANTONIO DE CRISTA;2144255
2144298 HOSPITAL SAO JUDAS TADEU DE OLIVEIRA;2144298
2144530 HOSPITAL REGIONAL IMACULADA CONCEICAO;2144530
2144557 HOSPITAL SAO JOSE VIRGINOPOLIS;2144557
2144573 HOSPITAL NOSSA SENHORA DAS DORES;2144573
2144638 SANTA CASA NOSSA SENHORA DAS MERCES;2144638
2145685 HOSPITAL E MATERNIDADE RENASCER;2145685
2145960 SANTA CASA DE MISERICORDIA DE ARAGUARI;2145960
2146088 HOSPITAL SANTO ANTONIO LTDA;2146088
2146304 UNIDADE BASICA DE SAUDE SANTA HELENA;2146304
2146339 AMBULATORIO AMELIO MARQUES;2146339
2146355 HOSPITAL DE CLINICAS DE UBERLANDIA;2146355
2146363 AMBULATORIO JARAGUA;2146363
2146479 SANTA CASA DE MISERICORDIA DE GUAPE;2146479
2146487 HOSPITAL MUNICIPAL DE IBIRACI;2146487
2146495 SANTA CASA DE MISERICORDIA DE MONTE SANTO;2146495
2146517 HOSPITAL MUNICIPAL DONA CHIQUITA;2146517
2146525 SANTA CASA DE PARAISO;2146525
2148293 HOSPITAL IMACULADA CONCEICAO;2148293
2148463 HOSPITAL DR ARMANDO XAVIER VIEIRA;2148463
2149419 HOSPITAL SAO VICENTE DE PAULO RIO POMBA;2149419
2149710 HOSPITAL MUNICIPAL E PRONTO SOCORRO DE VAR;2149710
2149990 HOSPITAL SANTA CASA DE MONTES CLAROS;2149990
2150581 INSTITUTO DE ANATOMIA PATOLOGICA E CITOPAT;2150581
2151847 CASA DE SAUDE STA MARTA;2151847
2151855 HOSPITAL SANTA CATARINA ANEXO HMMDOLC;2151855
2153025 HOSPITAL MARIA JOSE BAETA REIS ASCOMCER;2153025
2153084 HOSPITAL E MATERNIDADE THEREZINHA DE JESUS;2153084
2153106 INSTITUTO ONCOLOGICO;2153106
2153114 IBG SAUDE;2153114
2153742 ASSOCIACAO DOS CEGOS EM JUIZ DE FORA;2153742
2153882 SANTA CASA DE MISERICORDIA DE JUIZ DE FORA;2153882
2154560 HOSPITAL E MATERNIDADE DR EUGENIO GOMES DE;2154560
2154749 HOSPITAL SAO JOSE;2154749
2154757 HOSPITAL SANTA RITA;2154757
2157063 HOSPITAL WANDA ANDRADE DRUMMOND;2157063
2159252 HOSPITAL SAO JOAO DE DEUS;2159252
2161354 SANTA CASA DA MISERICORDIA DE SAO JOAO DEL;2161354
2162377 CASA DE SAUDE SANTA LUCIA LTDA;2162377
2163829 OURO PRETO SANTA CASA DE OURO PRETO;2163829
2164280 HOSPITAL MUNICIPAL MADALENA P CALIXTO;2164280
2164299 HOSPITAL DE SAO JOAO DE DEUS;2164299
2164620 SANTA SANTA CASA DE MISERICORDIA;2164620
2164795 HOSPITAL DA CRIANCA;2164795
2165058 HOSPITAL DOUTOR HELIO ANGOTTI;2165058
2166305 SANTA CASA DE PERDIZES;2166305
2167565 HOSPITAL MUNICIPAL JOAO AMELIO FREIRE;2167565
2167573 HOSPITAL E MATERNIDADE FREI FRANCISCO STIE;2167573
2167727 HOSPITAL DE GIMIRIM;2167727
2168243 HOSPITAL MUNICIPAL WALDEMAR DAS DORES;2168243
2168340 ITABIRITO CENTRO ESTADUAL DE ATENCAO ESPEC;2168340
2168421 SANTA CASA DE MISERICORDIA DE AREADO;2168421
2168553 HOSPITAL SAO SEBASTIAO DE RAUL SOARES;2168553
2168626 HOSPITAL MUNICIPAL R VILELA OLIVEIRA DE PA;2168626
2168693 SANTA CASA DE ARCOS;2168693
2168707 HOSP SANTA CASA DE BOM DESPACHO;2168707
2168731 HOSPITAL NOSSA SENHORA DO CARMO;2168731
2171945 SANTA CASA DE ALFENAS;2171945
2171988 HOSPITAL UNIVERSITARIO ALZIRA VELANO;2171988
2172259 HOSPITAL BOM JESUS;2172259
2172836 HOSPITAL MUNICIPAL SANTA RITA;2172836
2172852 SANTA CASA MISERICORDIA DE ALTEROSA;2172852
2173166 HOSPITAL CESAR LEITE;2173166
2173565 HOSPITAL NOSSA SENHORA DAS MERCES;2173565
2178559 HOSPITAL SANTO ANTONIO;2178559
2178591 SANTA CASA DE MISERICORDIA DE POMPEU;2178591
2178850 APROMIA;2178850
2178982 HOSPITAL LOURENCO WESTIN;2178982
2179172 HOSPITAL MUNICIPAL SAO JOAO BATISTA;2179172
2179628 ASILO DE CARIDADE SANTA CASA DE BOM SUCESS;2179628
2180766 HOSPITAL CASA DO CAMINHO;2180766
2181029 SANTA CASA DE IBIA;2181029
2183803 HOSPITAL SAO VICENTE DE PAULO DE AGUAS FOR;2183803
2183811 HOSPITAL SAO BENTO DE NOVO CRUZEIRO;2183811
2184680 HOSPITAL MUN DONA MARIA CONCEICAO FANTINI;2184680
2184834 HOSPITAL BOM SAMARITANO;2184834
2185563 HOSPITAL NOSSA SENHORA DOS ANJOS;2185563
2189941 CENTRO DE ATENCAO ESPECIALIZADA IRIA DINIZ;2189941
2191164 CMI JUVENTINA PAULA DE JESUS COMPLEXO HOSP;2191164
2192020 SANTA CASA DE CAMPO BELO;2192020
2192128 SANTA CASA DE SANTO ANTONIO DO AMPARO;2192128
2192896 HOSPITAL METROPOLITANO ODILON BEHRENS HOB;2192896
2193183 POLICLINICA MUNICIPAL DE IPATINGA;2193183
2194937 HOSPITAL MUNICIPAL DR DARCY JUAREZ ZABISKY;2194937
2195224 HOSPITAL MUNICIPAL DE PIRAPETINGA;2195224
2195437 HOSPITAL SANTA ISABEL;2195437
2195453 HOSPITAL DO CANCER DE MURIAE;2195453
2195585 CLINICAS INTEGRADAS HOSPITAL UNIVERSITARIO;2195585
2196972 HOSPITAL SAO LUCAS;2196972
2197693 SANTA CASA DE MISERICORDIA DE COROMANDELDR;2197693
2200260 CENTRO ESTADUAL DE ATENCAO ESPECIALIZADO;2200260
2200414 FUNDACAO HILTON ROCHA;2200414
2200422 HOSPITAL MADRE TERESA;2200422
2200457 ASSOCIACAO MARIO PENNA;2200457
2200473 HOSPITAL MUNICIPAL DE CONTAGEM COMPLEXO HO;2200473
2200481 HOSPITAL DE CONSELHEIRO PENA;2200481
2200902 HOSPITAL SAO JOSE;2200902
2200945 MARIANA HOSPITAL MONSENHOR HORTA;2200945
2202891 CASA CARIDADE SANTA TEREZA;2202891
2204649 HOSPITAL MUNICIPAL DR OSWALDO PREDILIANO S;2204649
2205009 SANTA CASA MIS CARIDADE DE CAMPESTRE;2205009
2205440 HOSPITAL MARCIO CUNHA;2205440
2205882 HOSPITAL MUNICIPAL PREFEITO FRANCISCO GAME;2205882
2205904 HOSPITAL MUNICIPAL SAO VICENTE DE PAULO;2205904
2205939 FUNDAJAN;2205939
2205971 SANTA CASA E HOSPITAL SAO VICENTE;2205971
2205998 FHAHC;2205998
2206064 HOSPITAL NOSSA SENHORA DA CONCEICAO;2206064
2206382 HOSPITAL ARNALDO GAVAZZA FILHO;2206382
2206498 HOSPITAL E MATERNIDADE VIRGILIO ROSA LTDA;2206498
2206501 HOSPITAL SANTA TEREZINHA;2206501
2206528 HOSPITAL NOSSA SENHORA DAS GRACAS;2206528
2206552 SANTA CASA DE UNIAO;2206552
2206595 HOSPITAL DE CLINICAS DA UFTM;2206595
2207664 HOSPITAL RAIMUNDO CAMPOS;2207664
2208040 CASA DE SAUDE E MATERNIDADE NOSSA SENHORA;2208040
2208075 HOSPITAL MUNICIPAL DR CARLOS MARX;2208075
2208083 HOSPITAL NOSSA SENHORA MAE DA IGREJA DE PA;2208083
2208156 HPS DR MOZART GERALDO TEIXEIRA;2208156
2208172 HOSPITAL SANTA ROSALIA;2208172
2208822 HOSPITAL ANTONIO MOREIRA DA COSTA STA RITA;2208822
2208857 AISI HOSPITAL DE CLINICAS DE ITAJUBA;2208857
2209195 HOSPITAL SANTA CASA DE PATROCINIO;2209195
2210924 HOSPITAL PHILADELFIA;2210924
2211254 HOSPITAL MUNICIPAL DR RAIMUNDO GOBIRA;2211254
2211262 HOSPITAL E PRONTO SOCORRO MUNICIPAL RENATO;2211262
2213982 ITABIRITO HOSPITAL SAO VICENTE DE PAULO;2213982
2215586 HOSPITAL NOSSA SENHORA DAS DORES;2215586
2218690 FSFX O S S HOSPITAL MUNICIPAL CARLOS CHAGA;2218690
2218798 HOSPITAL UNIVERSITARIO DA UFJF;2218798
2219638 HOSPITAL AROLDO TOURINHO;2219638
2219646 HOSPITAL DILSON GODINHO;2219646
2219654 HOSPITAL UNIVERSITARIO CLEMENTE DE FARIA;2219654
2219662 PRONTOCOR;2219662
2221543 HOSPITAL SAO LUCAS;2221543
2221772 HSVP JUIZ DE FORA;2221772
2221985 SANTA CASA DE MISERICORDIA DE PERDOES;2221985
2222043 HOSPITAL MUNICIPAL;2222043
2223538 HOSPITAL GERAL;2223538
2223546 HOSPITAL POMPEIA;2223546
2223562 HOSPITAL VIRVI RAMOS;2223562
2227665 HOSPITAL BOM PASTOR;2227665
2227673 HOSPITAL DE CARIDADE SANTA RITA;2227673
2227762 HOSPITAL SAO FRANCISCO DE ASSIS;2227762
2227908 HOSPITAL SAGRADA FAMILIA;2227908
2227932 HOSPITAL BOM JESUS;2227932
2228556 HOSPITAL MEDIANEIRA PLANALTO;2228556
2228564 HOSPITAL NOSSA SENHORA;2228564
2228580 HOSPITAL SANTA TEREZINHA PALMITINHO;2228580
2228602 HOSPITAL DIVINA PROVIDENCIA FREDWEST;2228602
2228610 HOSPITAL PIO XII SEBERI;2228610
2228653 HOSPITAL N S AUXILIADORA IRAI;2228653
2228688 HOSPITAL COMUNITARIO NONOAI;2228688
2228726 HOSPITAL CARIDADE TRES PASSOS;2228726
2228734 HOSPITAL SAO JOSE RODEIO BONITO;2228734
2232014 HOSPITAL NOSSA SENHORA DAS GRACAS;2232014
2232022 HOSPITAL CENTENARIO;2232022
2232030 FUNDACAO DE SAUDE PUBLICA SAO CAMILO DE ES;2232030
2232049 HOSPITAL DOM JOAO BECKER;2232049
2232057 HOSPITAL REGINA NOVO HAMBURGO;2232057
2232073 HOSPITAL DE CAMPO BOM DR LAURO REUS;2232073
2232103 HOSPITAL PADRE JEREMIAS;2232103
2232146 FUNDACAO DE SAUDE PUBLICA DE NOVO HAMBURGO;2232146
2232154 HOSPITAL SAPIRANGA;2232154
2232162 FUNDACAO HOSPITALAR DE SAPUCAIA DO SUL;2232162
2232170 HOSPITAL DE PORTAO;2232170
2232189 HOSPITAL SAO JOSE IVOTI;2232189
2232928 HOSPITAL DE CARIDADE DE CANGUCU;2232928
2232995 SANTA CASA DO RIO GRANDE;2232995
2233312 SANTA CASA DE MISERIC S LOURENCO DO SUL;2233312
2233347 HOSPITAL DE CARIDADE NOSSA SENHORA DA CONC;2233347
2233398 IRMANDADE S CASA DE MISERICORDIA DE S V PA;2233398
2233401 SANTA CASA DE CARIDADE JAGUARAO;2233401
2234386 HOSPITAL AGUDO;2234386
2234416 HOSPITAL DE CARIDADE DR VICTOR LANG;2234416
2234424 HOSPITAL SANTA ROSA DE LIMA;2234424
2234432 HOSPITAL SANTA BARBARA;2234432
2234467 UNIDADE MISTA HOSPITAL PARAISO;2234467
2235315 HOSPITAL SANTA RITA D JABOTICABA;2235315
2235323 HOSPITAL DE CARIDADE PALMEIRA DAS MISSOES;2235323
2235366 SOCIEDADE CULTURAL E BENEFICENTE SANTA ROS;2235366
2235404 HOSPITAL COMUNITARIO SARANDI;2235404
2235412 HOSPITAL DOS TRABALHADORES ATRA;2235412
2235420 ASSOCIACAO HOSPITALAR DE RONDA ALTA;2235420
2235447 HOSPITAL PADRE EUGENIO;2235447
2235609 HOSPITAL DE CANELA;2235609
2236346 HOSPITAL SINIMBU;2236346
2236354 HOSPITAL VERA CRUZ;2236354
2236362 HOSPITAL CANDELARIA;2236362
2236370 HOSPITAL SAO SEBASTIAO MARTIR;2236370
2237253 IRMANDADE DA SANTA CASA DE MISERICORDIA DE;2237253
2237261 HOSPITAL BENEFICENCIA PORTUGUESA;2237261
2237571 HOSPITAL NOSSA SENHORA DA CONCEICAO SA;2237571
2237601 HOSPITAL DE CLINICAS;2237601
2237660 HOSPITAL PARQUE BELEM;2237660
2237822 HOSPITAL MATERNO INFANTIL PRESIDENTE VARGA;2237822
2237849 INSTITUTO DE CARDIOLOGIA;2237849
2237881 HOSPITAL BANCO DE OLHOS DE PORTO ALEGRE;2237881
2238810 HOSPITAL SAO JACOB;2238810
2239884 CENTRO CLINICO DA UNIVERSIDADE DE CAXIAS D;2239884
2240335 HOSPITAL SAO CARLOS;2240335
2241021 HOSPITAL TACCHINI;2241021
2241048 HOSPITAL NOSSA SENHORA DA OLIVEIRA;2241048
2241072 HOSPITAL SAO JOSE;2241072
2241102 HOSPITAL NOVA PETROPOLIS;2241102
2241129 HOSPITAL SAO PEDRO CANISIO;2241129
2241137 HOSPITAL SAO ROQUE;2241137
2241145 HOSPITAL FATIMA;2241145
2241153 HOSPITAL ARCANJO SAO MIGUEL;2241153
2241161 HOSPITAL SAO JOAO BATISTA;2241161
2241218 HOSPITAL BENEFICENTE NOSSA SENHORA APARECI;2241218
2241226 HOSPITAL BENEFICENTE SAO JOAO BOSCO;2241226
2244098 HOSPITAL BERNARDINA SALLES DE BARROS;2244098
2244101 HOSPITAL DE CARIDADE SAO ROQUE;2244101
2244152 IRDESI DE JAGUARI;2244152
2244225 HOSPITAL DE CARIDADE BRASILINA TERRA;2244225
2244276 HOSPITAL DE CARIDADE ASTROGILDO DE AZEVEDO;2244276
2244306 HOSPITAL UNIVERSITARIO SANTA MARIA;2244306
2244314 HOSPITAL MUNICIPAL DE SAO PEDRO DO SUL;2244314
2244322 HOSPITAL SANTO ANTONIO;2244322
2244330 HOSPITAL SANTO ANTONIO;2244330
2244357 HOSPITAL DE CARIDADE DE SANTIAGO;2244357
2244969 HOSPITAL DE OLHOS LIONS PASSO FUNDO;2244969
2246740 HOSPITAL SANTO ANTONIO;2246740
2246767 HOSPITAL SAO JOAO SANANDUVA;2246767
2246783 HOSPITAL ROQUE GONZALES TAPERA;2246783
2246791 HOSPITAL SAO JOSE;2246791
2246813 HOSPITAL NOTRE DAME SAO SEBASTIAO;2246813
2246872 HOSPITAL SANTA LUCIA CASCA;2246872
2246902 HOSPITAL NOTRE DAME JULIA BILLIART;2246902
2246910 HOSPITAL ALTO JACUI NAO ME TOQUE;2246910
2246929 HOSPITAL DE CLINICAS DE PASSO FUNDO;2246929
2246953 HOSPITAL CRISTO REDENTOR MARAU;2246953
2246961 HOSPITAL FREI CLEMENTE SOLEDADE;2246961
2246988 HOSPITAL SAO VICENTE DE PAULO;2246988
2246996 HOSPITAL MUNICIPAL PASSO FUNDO;2246996
2247038 HOSPITAL SAO JOSE MAXIMILIANO DE ALMEIDA;2247038
2247046 HOSPITAL SANTA TEREZINHA PAIM FILHO;2247046
2248190 SANTA CASA DE URUGUAIANA;2248190
2248204 SANTA CASA DE SAO GABRIEL;2248204
2248220 SANTA CASA DE MISERICORDIA;2248220
2248239 HOSPITAL AUXILIADORA;2248239
2248247 FUNDACAO HOSPITALAR DE CARIDADE DE QUARAI;2248247
2248271 HOSPITAL SAO PATRICIO DE ITAQUI;2248271
2248298 HOSPITAL IVAN GOULART;2248298
2248328 SANTA CASA DE ALEGRETE;2248328
2249502 ACHA ARATIBA;2249502
2249510 HOSPITAL SAO ROQUE DE GETULIO VARGAS;2249510
2249618 ASSOCIACAO HOSPITALAR MARCELINENSE;2249618
